model,coef,se,pval,sig
DID_avg,-0.0936756375997883,0.0756589286165111,0.216450528709311,""
DDD_base_high,-1.13788578463796,0.7222970389936,0.116023154699799,""
DDD_diff_low,2.45240239342518,1.95794641687336,0.211162824052833,""
DDD_diff_med,1.29849713873539,0.775884984301003,0.0950581773711501,*
