quartile,coef,se,pval
Q0_none (ref),0,0,
Q1_low,-0.228053650925063,0.164559043034309,0.16613166576874
Q2_mid,-1.70720777009284,1.5184348131746,0.261172165335783
Q3_high,-0.177659246637579,0.633303838868426,0.779136187120719
