variable,coef,se,pval
num_orders,0.0473603482823274,0.0830545211024676,0.56886549705379
total_duration,0.59229467778271,0.658224050578489,0.368790429320773
avg_duration_orders,-0.0241264811627913,0.104832449544947,0.818107296736571
idle_btw_shifts,0.018387064270852,0.213460195059222,0.931403072491864
