post_week,coef,se,pval
1,0.0792352999599294,0.0890987087425676,0.374076959135821
2,-0.0279273032706219,0.0894474225019106,0.754944300145047
3,-0.0645284419928953,0.0892956445794085,0.47008706456817
4,0.284192551760733,0.34269437107594,0.40715761403271
