Treat,after,gini,theil,p90_p10,p75_p25,mean_prod,sd_prod,n_riders,period,group
1,0,0.159522602747215,0.0805414237715282,1.88232163531434,1.35871382315461,4.62095320385314,3.07628883038949,707,도입 전,AI 채택자
1,1,0.149735559221331,0.0577520948016159,1.77809636942188,1.34840785994652,4.51470702644793,2.02857288591236,684,도입 후,AI 채택자
0,0,0.241059949476703,0.262930251816754,2.14857523564327,1.51239959408389,4.98499300837806,7.45455422518438,229,도입 전,비채택자
0,1,0.14710764437068,0.0343822773839257,2.00372833452192,1.41164803119192,5.14087317474207,1.37562346685567,106,도입 후,비채택자
